,ID,Number,Address,Latitude,Longitude,DistritoId,DistritoName,BarrioId,BarrioName,CardinalId,CardinalName,RegionId,RegionName
141,145,151,Calle Orense nº 12,40.4480662,-3.695286,6,Tetuan,33,Cuatro Caminos,1,N,1,N
142,146,149,Paseo de la Habana nº 42,40.449861299999995,-3.6881689,5,Chamartin,26,El Viso,1,N,1,N
143,147,150,Paseo de la Castellana nº 124,40.4488924,-3.6905604,6,Tetuan,33,Cuatro Caminos,1,N,1,N
144,148,147,Avenida del Doctor Arce nº 45,40.4483269,-3.6797296000000004,5,Chamartin,26,El Viso,1,N,1,N
145,149,132,Calle Santa Engracia nº 168,40.4463667,-3.7036675000000003,7,Chamberi,43,Vallehermoso,1,N,1,N
146,150,133,Calle Raimundo Fernández Villaverde nº 33-35,40.447125,-3.7001669,7,Chamberi,42,Rios Rosas,1,N,1,N
147,151,136,Paseo de la Castellana nº 106,40.4453307,-3.690861,7,Chamberi,42,Rios Rosas,1,N,1,N
148,152,137,Plaza de la República Argentina nº 6-7,40.445411,-3.6853312000000007,5,Chamartin,26,El Viso,1,N,1,N
149,153,134,Calle María de Guzmán nº 58,40.4440297,-3.6956047,7,Chamberi,42,Rios Rosas,1,N,1,N
150,154,138,Paseo de la Castellana nº 67,40.445741399999996,-3.6917932,7,Chamberi,42,Rios Rosas,1,N,1,N
151,155,146,Calle María Francisca nº 1,40.4442258,-3.6787169,5,Chamartin,26,El Viso,1,N,1,N
152,156,131,Calle Bravo Murillo nº 44,40.4412115,-3.7039582,7,Chamberi,43,Vallehermoso,1,N,1,N
153,157,130,Calle Santa Engracia nº 127,40.441386,-3.7016321000000003,7,Chamberi,42,Rios Rosas,1,N,1,N
154,158,135,Plaza de San Juan de la Cruz nº 11,40.4415974,-3.6927821000000005,7,Chamberi,42,Rios Rosas,1,N,1,N
155,159,139,Calle José Gutiérrez Abascal nº 2,40.4396792,-3.6907784,7,Chamberi,42,Rios Rosas,1,N,1,N
156,160,128,Calle Cea Bermúdez nº 59,40.438994,-3.7154328999999997,7,Chamberi,38,Gaztambide,0,O,0,O
157,161,129,Calle José Abascal nº 33,40.4385316,-3.6982209000000004,7,Chamberi,41,Almagro,1,N,1,N
158,162,140,Calle Velázquez nº 130,40.4379444,-3.682862,4,Salamanca,25,Castellana,1,N,1,N
159,163,126,Calle del General Álvarez de Castro nº 2,40.434473100000005,-3.7015686000000003,7,Chamberi,40,Trafalgar,0,O,0,O
160,164,125,Calle Fernández de la Hoz nº 29,40.435285,-3.6948626000000004,7,Chamberi,41,Almagro,1,N,1,N
161,165,141,Paseo de la Castellana nº 43,40.4355143,-3.6892367999999993,7,Chamberi,41,Almagro,1,N,1,N
162,166,143,Calle Diego de León nº 52,40.4345973,-3.678492,4,Salamanca,25,Castellana,2,E,2,E
163,167,142,Paseo de la Castellana nº 42,40.43340870000001,-3.6879154,7,Chamberi,41,Almagro,2,E,1,E
164,168,127,Calle Fernando el Católico nº 19,40.4338516,-3.708439,7,Chamberi,39,Arapiles,0,O,0,O
165,169,124,Calle Manuel Silvela nº 20,40.430952399999995,-3.6993465,7,Chamberi,40,Trafalgar,0,O,0,O
166,170,144,Calle Juan Bravo nº 50,40.4323655,-3.6758555,4,Salamanca,24,Lista,2,E,2,E
167,171,145,Calle Ortega y Gasset nº 87,40.429887,-3.6712822999999997,4,Salamanca,24,Lista,2,E,2,E
168,172,160,Calle Colombia nº 7,40.457246600000005,-3.6763439,5,Chamartin,29,Hispanoamérica,1,N,1,N
169,173,159,Paseo de la Habana nº 63,40.454385200000004,-3.6835926,5,Chamartin,29,Hispanoamérica,1,N,1,N
170,174,166,"Calle Segovia, 26",40.4138333,-3.7135833,1,Centro,1,Palacio,0,O,0,O
171,175,167,"Calle Segovia, 45",40.413736,-3.717487,2,Arganzuela,7,Imperial,0,O,0,O
172,176,168,"Pº Sta. Mª Cabeza, 29-31",40.4044722,-3.6959166,2,Arganzuela,12,Palos de Moguer,3,S,3,S
173,177,169,"Toledo, 181",40.401611100000004,-3.7138055,2,Arganzuela,7,Imperial,3,S,3,S
174,178,170,"Pº Esperanza, 21",40.400999999999996,-3.7043611000000003,2,Arganzuela,8,Acacias,3,S,3,S
175,179,171,"Embajadores, 101",40.39975,-3.6983888,2,Arganzuela,9,Chopera,3,S,3,S
176,180,172,"Bustamante, 1",40.4008888,-3.6935833,2,Arganzuela,11,Delicias,3,S,3,S
177,181,173,"Pº Esperanza, 59",40.398179799999994,-3.7045805,2,Arganzuela,8,Acacias,3,S,3,S
178,182,174,Pº Yeserías 45,40.3974444,-3.7065277,2,Arganzuela,8,Acacias,3,S,3,S
179,183,175,"Jaime I el Conquistador, 30",40.396222200000004,-3.6983055,2,Arganzuela,9,Chopera,3,S,3,S
180,184,176,"Alicante, 3",40.39425,-3.6937222000000003,2,Arganzuela,9,Chopera,3,S,3,S
181,185,177,"Bolivar, 3",40.3914722,-3.6941943999999998,2,Arganzuela,10,Legazpi,3,S,3,S
